Date,^AXJO,^GSPC,^HSI
1990-03-06,,337.92999267578125,2933.0
1990-03-07,,336.95001220703125,2926.0
1990-03-08,,340.2699890136719,2915.0
1990-03-09,,337.92999267578125,2912.0
1990-03-12,,338.6700134277344,2892.0
1990-03-13,,336.0,2887.0
1990-03-14,,336.8699951171875,2881.0
1990-03-15,,338.07000732421875,2892.0
1990-03-16,,341.9100036621094,2886.0
1990-03-19,,343.5299987792969,2871.0
1990-03-20,,341.57000732421875,2880.0
1990-03-21,,339.739990234375,2926.0
1990-03-22,,335.69000244140625,2948.0
1990-03-23,,337.2200012207031,2974.0
1990-03-26,,337.6300048828125,3014.0
1990-03-27,,341.5,3010.0
1990-03-28,,342.0,2990.0
1990-03-29,,340.7900085449219,3000.0
1990-03-30,,339.94000244140625,2997.0
1990-04-02,,338.70001220703125,2934.0
1990-04-03,,343.6400146484375,2962.0
1990-04-04,,341.0899963378906,2960.0
1990-04-05,,340.7300109863281,
1990-04-06,,340.0799865722656,2956.0
1990-04-09,,341.3699951171875,2954.0
1990-04-10,,342.07000732421875,2942.0
1990-04-11,,341.9200134277344,2959.0
1990-04-12,,344.3399963378906,2995.0
1990-04-16,,344.739990234375,
1990-04-17,,344.67999267578125,3020.0
1990-04-18,,340.7200012207031,3052.0
1990-04-19,,338.0899963378906,3067.0
1990-04-20,,335.1199951171875,3067.0
1990-04-23,,331.04998779296875,3056.0
1990-04-24,,330.3599853515625,3015.0
1990-04-25,,332.0299987792969,3018.0
1990-04-26,,332.9200134277344,3009.0
1990-04-27,,329.1099853515625,2986.0
1990-04-30,,330.79998779296875,2951.0
1990-05-01,,332.25,2945.0
1990-05-02,,334.4800109863281,2957.0
1990-05-03,,335.57000732421875,2954.0
1990-05-04,,338.3900146484375,2946.0
1990-05-07,,340.5299987792969,2958.0
1990-05-08,,342.010009765625,2953.0
1990-05-09,,342.8599853515625,2942.0
1990-05-10,,343.82000732421875,2985.0
1990-05-11,,352.0,2960.0
1990-05-14,,354.75,2976.0
1990-05-15,,354.2799987792969,2965.0
1990-05-16,,354.0,2948.0
1990-05-17,,354.4700012207031,2917.0
1990-05-18,,354.6400146484375,2925.0
1990-05-21,,358.0,2930.0
1990-05-22,,358.42999267578125,2970.0
1990-05-23,,359.2900085449219,3028.0
1990-05-24,,358.4100036621094,3048.0
1990-05-25,,354.5799865722656,3059.0
